,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
160,161,HPP,0.77,1.44,-2.67%,3.90%,-19.32%,-35.02%,56.26%,49.65,25.22,-3.30%,-4.61%,1.38%,"4,063,505"
161,162,PFGC,1.35,2.14,-4.54%,0.95%,-33.62%,-51.99%,253.04%,48.20,26.16,-2.24%,-3.58%,1.38%,"1,595,955"
162,163,PEAK,0.66,1.36,-2.56%,2.39%,-16.71%,-30.61%,41.28%,48.27,26.32,-6.00%,-7.71%,1.86%,"18,250,968"
163,164,IRM,0.67,1.10,-3.63%,3.48%,-11.89%,-23.63%,25.43%,46.66,26.34,-2.37%,-4.11%,1.82%,"10,080,657"
164,165,ACHC,1.40,1.67,-6.40%,3.05%,-7.75%,-25.25%,138.59%,48.05,26.46,-0.15%,-2.29%,2.19%,"1,034,776"
165,166,GM,1.41,1.47,-4.40%,7.96%,-15.20%,-36.54%,85.62%,49.80,26.59,-1.85%,-4.08%,2.33%,"27,804,198"
166,167,PAAS,1.38,1.58,-1.60%,12.53%,31.83%,-12.42%,152.50%,53.20,26.79,3.28%,0.79%,2.47%,"3,638,296"
167,168,AVT,1.33,1.37,-5.03%,-4.02%,-24.34%,-41.98%,50.84%,45.13,26.92,-0.39%,-1.30%,0.92%,"1,195,245"
168,169,SPR,1.43,2.69,0.67%,19.40%,-52.89%,-70.74%,98.39%,52.81,27.16,-2.44%,-4.43%,2.08%,"5,760,156"
169,170,STLD,1.45,1.33,-0.09%,8.27%,-4.25%,-24.07%,81.38%,53.66,27.17,1.49%,-0.80%,2.32%,"4,270,886"
170,171,HTA,0.59,1.08,-0.08%,6.00%,-4.87%,-20.34%,32.27%,52.96,27.26,-3.91%,-4.12%,0.21%,"10,657,832"
171,172,WFC,1.15,1.66,-2.11%,0.44%,-34.48%,-49.59%,25.45%,49.12,27.60,0.18%,-1.50%,1.71%,"71,845,851"
172,173,INVH,0.89,1.16,1.52%,10.95%,-0.18%,-14.86%,78.01%,57.04,27.84,-1.80%,-2.52%,0.74%,"11,673,790"
173,174,FL,1.31,2.10,-6.91%,5.67%,-19.82%,-41.31%,60.88%,47.80,28.09,-3.97%,-5.74%,1.88%,"4,241,629"
174,175,MGP,0.77,1.36,-0.76%,9.49%,-1.16%,-17.84%,147.07%,54.29,28.24,-1.77%,-2.62%,0.87%,"1,024,664"
175,176,NEO,0.76,1.31,3.30%,2.22%,6.79%,-18.92%,53.08%,53.87,28.35,0.43%,-0.39%,0.81%,"2,009,512"
176,177,STAG,1.13,1.14,4.73%,10.67%,1.14%,-13.08%,65.91%,59.45,29.10,-2.74%,-3.99%,1.30%,"6,061,315"
177,178,ACGL,0.76,1.68,-5.25%,6.35%,-21.38%,-39.30%,40.13%,48.41,29.33,-3.99%,-5.90%,2.03%,"5,111,601"
178,179,DAL,1.22,2.55,1.77%,16.94%,-35.50%,-53.48%,68.53%,53.44,29.51,-4.16%,-6.35%,2.34%,"47,897,698"
