No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
98,WORK,-7.10%,17.84%,23.24%,50.32%,-,44.84%,7.04%,6.25%,2.40,18.60M,5.23,32.56,-14.18%,"91,772,544"
99,KHC,7.06%,10.95%,25.32%,5.12%,13.98%,1.53%,2.38%,2.43%,2.80,8.45M,2.34,32.62,3.59%,"19,534,460"
100,DUST,11.31%,3.79%,-73.10%,-81.50%,-91.96%,-76.60%,6.79%,7.22%,-,2.53M,1.59,32.88,4.51%,"3,952,297"
101,SPR,55.56%,89.06%,-28.84%,-59.68%,-59.79%,-53.75%,10.81%,8.99%,2.70,4.87M,2.53,33.71,8.22%,"11,992,599"
102,VTIQ,18.65%,159.51%,131.09%,231.12%,243.13%,229.17%,14.12%,16.58%,-,4.10M,2.50,33.97,8.29%,"10,732,857"
103,DAL,35.50%,62.67%,-25.56%,-39.07%,-37.54%,-41.59%,8.29%,7.00%,2.20,57.48M,2.33,34.16,5.50%,"130,685,448"
104,ZTO,5.95%,19.50%,31.34%,68.78%,102.30%,49.63%,3.90%,4.14%,2.00,2.96M,1.53,34.56,4.38%,"4,549,961"
105,RWM,-7.84%,-17.65%,-16.83%,-8.44%,-15.89%,-5.04%,1.92%,2.67%,-,3.17M,1.75,35.04,-3.87%,"5,438,435"
106,TMF,-12.73%,-13.27%,-25.33%,23.74%,47.47%,36.57%,3.11%,3.01%,-,1.36M,1.86,35.29,-2.22%,"2,521,692"
107,CUZ,13.53%,27.45%,-4.82%,-11.96%,-3.89%,-14.25%,5.36%,4.48%,1.70,1.36M,1.96,35.33,0.08%,"2,617,095"
108,COLD,0.53%,19.15%,14.04%,-4.27%,13.36%,2.40%,2.53%,3.33%,1.70,2.29M,1.57,35.90,1.84%,"3,591,391"
109,TCBI,34.16%,43.60%,-14.89%,-37.47%,-40.03%,-36.76%,7.16%,7.74%,3.00,1.03M,1.63,35.90,14.55%,"1,649,319"
110,NKLA,25.33%,172.91%,161.79%,251.27%,262.24%,248.55%,17.67%,17.81%,-,4.11M,2.03,35.97,6.58%,"8,386,776"
111,KBE,16.57%,29.40%,1.05%,-19.94%,-14.06%,-22.48%,3.83%,4.30%,-,3.56M,2.37,36.66,5.68%,"8,275,444"
112,WYND,16.35%,67.50%,-2.45%,-23.43%,-9.78%,-28.42%,6.08%,7.05%,2.00,1.56M,1.55,37.00,1.59%,"2,399,275"
113,DT,-3.04%,25.13%,23.31%,49.14%,-,47.43%,6.27%,6.32%,2.00,2.79M,2.37,37.30,3.18%,"6,456,605"
114,LUV,18.94%,53.15%,-16.51%,-31.55%,-23.61%,-29.27%,7.53%,6.42%,2.30,21.89M,2.54,38.18,-0.24%,"54,289,272"
115,ADPT,0.08%,14.38%,43.23%,42.55%,-,29.45%,4.33%,5.47%,1.50,1.09M,1.60,38.73,-1.20%,"1,751,203"
116,URTY,26.02%,64.15%,-28.67%,-50.10%,-40.97%,-54.58%,5.58%,8.20%,-,2.02M,1.87,38.74,11.67%,"3,702,952"
117,ARES,5.03%,13.31%,17.51%,21.47%,54.20%,11.12%,2.78%,3.72%,2.00,1.15M,2.08,39.66,0.41%,"2,343,872"
118,FR,7.00%,13.91%,2.30%,-4.77%,11.96%,-2.36%,2.60%,3.03%,2.50,1.33M,1.94,40.53,2.50%,"2,531,892"
119,WERN,-8.63%,2.87%,27.08%,18.86%,44.43%,16.05%,3.01%,3.54%,2.40,1.06M,7.03,42.23,0.17%,"6,750,535"
120,UAL,51.23%,85.09%,-18.61%,-51.91%,-48.89%,-51.86%,12.15%,9.65%,2.40,45.34M,3.10,42.40,8.45%,"135,585,056"
121,ALK,24.95%,53.50%,-5.51%,-36.16%,-29.91%,-36.94%,9.53%,7.81%,2.10,3.66M,2.62,42.72,0.95%,"9,436,950"
122,SCHW,19.24%,23.86%,25.46%,-12.67%,-2.53%,-9.97%,4.40%,3.79%,2.40,13.47M,1.51,42.82,2.74%,"20,489,936"
123,EFV,9.53%,18.42%,0.14%,-12.97%,-10.79%,-14.10%,1.28%,1.36%,-,2.46M,1.93,42.89,2.95%,"4,662,532"
124,REXR,8.57%,8.98%,-11.60%,-8.04%,10.71%,-5.39%,3.45%,3.06%,2.10,1.11M,1.59,43.21,5.78%,"1,740,245"
125,VNO,20.85%,21.66%,-16.41%,-30.20%,-33.92%,-34.20%,4.64%,5.63%,3.30,3.14M,2.09,43.76,5.93%,"6,423,329"
126,SMAR,-22.75%,-18.45%,3.08%,1.78%,-0.87%,-0.85%,6.18%,5.35%,2.10,1.90M,3.32,44.54,-2.11%,"6,135,651"
127,KRE,16.68%,29.69%,1.50%,-20.26%,-14.66%,-23.52%,4.16%,4.62%,-,11.54M,1.80,44.55,5.79%,"20,552,424"
